graph_name,num_nodes,num_edges,graph_density,mean_degree,median_degree,degree_std,iqr_degree,degree_amd,node_connectivity,average_clustering,adjacency_matrix_rank,incidence_matrix_rank,laplacian_matrix_rank,bethe_hessian_matrix_rank,modularity_matrix_rank,wiener_index,is_AT_free,has_bridge,is_chordal,clique_number,transitivity,edge_connectivity,node_connectivity,is_distance_regular,local_efficiency,global_efficiency,is_eulerian,is_semi_eulerian
powerLawTree_20_3_10.adjlist,20,19,0.1,1.9,1.5,1.69,1.0,0.9,1,0.0,1,1,1,1,13,870.0,True,True,True,2,0.0,1,1,False,0.0,0.34035391509075685,False,False
powerLawTree_1000_3_22.adjlist,1000,999,0.002,1.998,1.0,9.971996,1.0,1.0977999999999997,1,0.0,1,1,1,1,605,71125117.0,True,True,True,2,0.0,1,1,False,0.0,0.0404152000947166,False,False
randomRegular_20_5_7.adjlist,20,50,0.2631578947368421,5.0,5.0,0,0.0,0.0,5,0.15,1,1,1,1,19,368.0,False,False,False,3,0.15,5,5,False,0.19166666666666665,0.5982456140350885,False,False
fastGnp_1000_0.1_18.adjlist,1000,49935,0.09996996996996997,99.87,99.0,88.4771,12.0,7.46722,72,0.10001720949923365,1,1,1,1,999,949088.0,False,False,False,6,0.10002184163529608,72,72,False,0.49341108616721613,0.5499773106439771,False,False
fastGnp_1000_0.01_6.adjlist,1000,5020,0.01005005005005005,10.04,10.0,9.894400000000001,4.0,2.5174399999999997,1,0.008688445953771034,1,1,1,1,999,1623802.0,False,True,False,3,0.009239389604196471,1,1,False,0.009080668559596577,0.3255018351683157,False,False
randomRegular_1000_4_28.adjlist,1000,2000,0.004004004004004004,4.0,4.0,0,0.0,0.0,4,0.0024999999999999996,1,1,1,1,999,2814250.0,False,False,False,3,0.0025,4,4,False,0.0024999999999999996,0.19027588540979248,True,False
fastGnp_1000_0.2_17.adjlist,1000,62026,0.12417617617617617,124.052,84.0,3680.257296,120.0,58.20806400000001,51,0.17126443706567127,1,1,1,1,767,936975.0,False,False,False,7,0.13901269689519782,51,51,False,0.5793487083310366,0.5620877544210877,False,False
fastGnp_100_0.2_7.adjlist,100,1009,0.20383838383838385,20.18,20.0,14.9876,4.0,2.9379999999999997,10,0.1937469929376164,1,1,1,1,99,8957.0,False,False,False,6,0.1925181573972739,10,10,False,0.5024946618098278,0.5996969696969684,False,False
powerLawTree_20_4_22.adjlist,20,19,0.1,1.9,2.0,1.19,1.0,0.8099999999999999,1,0.0,1,1,1,1,15,939.0,True,True,True,2,0.0,1,1,False,0.0,0.32543365990734396,False,False
fastGnp_100_0.2_3.adjlist,100,1001,0.20222222222222222,20.02,20.0,15.3596,6.0,3.280800000000001,11,0.20512238848785055,1,1,1,1,99,8958.0,False,False,False,5,0.20401878123895592,11,11,False,0.5206984777834365,0.599124579124578,False,False
fastGnp_1000_0.2_13.adjlist,1000,60147,0.12041441441441442,120.294,81.0,3760.931564,121.0,58.38843999999999,50,0.1698637070590385,1,1,1,1,739,938853.0,False,False,False,7,0.1350371403816538,50,50,False,0.5775513695777104,0.5602072072072072,False,False
powerLawTree_20_4_26.adjlist,20,19,0.1,1.9,1.0,3.09,1.0,1.17,1,0.0,1,1,1,1,9,665.0,True,True,True,2,0.0,1,1,False,0.0,0.3874373433583956,False,False
fastGnp_100_0.2_28.adjlist,100,972,0.19636363636363635,19.44,19.0,14.7464,6.0,3.1064,11,0.1943967221636376,1,1,1,1,99,9020.0,False,False,False,5,0.194844863619313,11,11,False,0.49709741311420397,0.5950841750841747,False,False
randomRegular_20_4_3.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.049999999999999996,1,1,1,1,19,402.0,False,False,False,3,0.05,4,4,False,0.049999999999999996,0.551315789473685,True,False
fastGnp_100_0.2_20.adjlist,100,1002,0.20242424242424242,20.04,20.0,12.4184,5.0,2.864799999999999,9,0.1976280527835783,1,1,1,1,99,8949.0,False,False,False,5,0.19797959287273464,9,9,False,0.5124506501917043,0.5994949494949487,False,False
randomRegular_100_5_22.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.027000000000000007,1,1,1,1,99,15093.0,False,False,False,3,0.027,5,5,False,0.03000000000000001,0.36995286195288285,False,False
randomRegular_1000_4_24.adjlist,1000,2000,0.004004004004004004,4.0,4.0,0,0.0,0.0,4,0.0009999999999999998,1,1,1,1,999,2806814.0,False,False,False,3,0.001,4,4,False,0.0009999999999999998,0.19069174094785904,True,False
randomRegular_20_4_16.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.15,1,1,1,1,19,419.0,False,False,False,3,0.15,4,4,False,0.16666666666666666,0.5385964912280711,True,False
