,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_time
266,random_allocation,7,0.07,0.09,8.771419525146484e-05
267,random_allocation,7,0.08,0.09,8.30531120300293e-05
268,random_allocation,7,0.09,0.09,7.431507110595703e-05
269,random_allocation,7,0.1,0.09,8.466243743896485e-05
270,random_allocation,7,0.01,0.1,7.77125358581543e-05
271,random_allocation,7,0.02,0.1,7.910728454589844e-05
272,random_allocation,7,0.03,0.1,7.727146148681641e-05
273,random_allocation,7,0.04,0.1,8.007287979125977e-05
274,random_allocation,7,0.05,0.1,8.331537246704101e-05
275,random_allocation,7,0.06,0.1,7.724761962890625e-05
276,random_allocation,7,0.07,0.1,6.80088996887207e-05
277,random_allocation,7,0.08,0.1,7.748603820800781e-05
278,random_allocation,7,0.09,0.1,8.176565170288086e-05
279,random_allocation,7,0.1,0.1,8.419752120971679e-05
280,random_allocation,7,0.01,0.11,0.04239275455474854
281,random_allocation,7,0.02,0.11,8.32676887512207e-05
282,random_allocation,7,0.03,0.11,8.311271667480469e-05
283,random_allocation,7,0.04,0.11,7.54237174987793e-05
284,random_allocation,7,0.05,0.11,8.299350738525391e-05
285,random_allocation,7,0.06,0.11,8.286237716674805e-05
286,random_allocation,7,0.07,0.11,8.306503295898437e-05
287,random_allocation,7,0.08,0.11,8.34345817565918e-05
288,random_allocation,7,0.09,0.11,8.112192153930664e-05
289,random_allocation,7,0.1,0.11,7.26938247680664e-05
290,random_allocation,7,0.01,0.12,7.421970367431641e-05
291,random_allocation,7,0.02,0.12,9.236335754394531e-05
292,random_allocation,7,0.03,0.12,8.584260940551758e-05
293,random_allocation,7,0.04,0.12,8.397102355957031e-05
294,random_allocation,7,0.05,0.12,7.984638214111328e-05
295,random_allocation,7,0.06,0.12,7.499456405639649e-05
296,random_allocation,7,0.07,0.12,7.954835891723632e-05
297,random_allocation,7,0.08,0.12,8.003711700439453e-05
298,random_allocation,7,0.09,0.12,8.037090301513672e-05
299,random_allocation,7,0.1,0.12,7.622241973876953e-05
300,random_allocation,7,0.01,0.13,7.56382942199707e-05
301,random_allocation,7,0.02,0.13,7.839202880859375e-05
302,random_allocation,7,0.03,0.13,7.818937301635742e-05
303,random_allocation,7,0.04,0.13,7.89046287536621e-05
304,random_allocation,7,0.05,0.13,8.273124694824219e-05
305,random_allocation,7,0.06,0.13,7.823705673217773e-05
306,random_allocation,7,0.07,0.13,7.947683334350586e-05
307,random_allocation,7,0.08,0.13,8.286237716674805e-05
308,random_allocation,7,0.09,0.13,8.058547973632812e-05
309,random_allocation,7,0.1,0.13,8.26716423034668e-05
310,random_allocation,7,0.01,0.14,0.04623293876647949
311,random_allocation,7,0.02,0.14,8.330345153808593e-05
312,random_allocation,7,0.03,0.14,7.575750350952148e-05
313,random_allocation,7,0.04,0.14,8.455514907836914e-05
314,random_allocation,7,0.05,0.14,8.783340454101562e-05
